seed	step	L1	L2	L1/L2	mu_w	median_w	sigma_w	mu_b	median_b	sigma_b	trace	lambda_max	trace/lambda	mu_lambda	sigma_lambda
0	23000	80470.79235092475	56.208513688068	1075.6725573216445	-1.758218786562793e-05	-1.1563301086425781e-05	0.0018807165324687958	-0.011434649117290974	-0.0158233642578125	2.544628858566284	0.023285964313818484	9.219972260144292	0.00043679969081345313	1.8152329727095	0.9509960358240166
0	24000	80783.11573262117	56.50964160841338	1075.0872754854618	-1.740743209666107e-05	-1.055002212524414e-05	0.0018983592744916677	-0.01168162003159523	-0.0162811279296875	2.7738430500030518	0.04158521185115892	9.320484365735735	0.005109862331780867	1.8232974653341332	0.967242395695375
0	25000	81056.47098214286	56.7878499323008	1074.4288390119502	-1.6648618839099072e-05	-8.404254913330078e-06	0.0019146910635754466	-0.011927162297070026	-0.0167083740234375	3.016141891479492	0.05039849694894285	9.42622575954515	0.00694665282328765	1.8302876085651165	0.9849590151285639
0	26000	81282.65955835459	57.033766571356324	1073.738182211574	-1.555656490381807e-05	-6.973743438720703e-06	0.0019290843047201633	-0.01216189656406641	-0.01715087890625	3.268914222717285	0.0342340213911874	9.519617834869695	0.006326510842975855	1.836252094531546	1.0020639592287492
0	27000	81465.7604432398	57.245387057868804	1073.1084547317607	-1.5142383745114785e-05	-7.62939453125e-06	0.0019415495917201042	-0.012397700920701027	-0.0175323486328125	3.5317940711975098	0.012316910588011449	9.603933222439824	0.0001712489158630577	1.8411939642867263	1.0183063243724861
0	28000	81613.2584502551	57.43231543716119	1072.4764972949702	-1.4482195183518343e-05	-7.152557373046875e-06	0.0019523486262187362	-0.012640450149774551	-0.017974853515625	3.8031742572784424	0.022663662628251677	9.674113049799082	-0.002906543128686575	1.8456085141824217	1.0327527979198767
0	29000	81731.11443718112	57.59464972359793	1071.8624211078911	-1.4152918083709665e-05	-6.616115570068359e-06	0.0019616717472672462	-0.012876161374151707	-0.0183563232421875	4.083102703094482	0.02942201920918056	9.756734332259821	0.0003761393715829867	1.849184554450366	1.0468152086345517
0	30000	81810.63813376913	57.71610115985481	1071.402624544332	-1.3408880477072671e-05	-7.68899917602539e-06	0.0019681027624756098	-0.01311588753014803	-0.018768310546875	4.364900588989258	0.01907975941288228	9.799885959041362	-0.0007545206043477095	1.8523290011347557	1.0547740854779069
0	31000	81873.53928172831	57.85116670569595	1070.7252822455173	-1.2725415217573754e-05	-7.867813110351562e-06	0.0019758495036512613	-0.013335085473954678	-0.01910400390625	4.663822650909424	0.045876665991179795	9.91484785079956	0.0012975086583831936	1.854862509941568	1.0700377852332836
0	32000	81906.5875518176	57.95439813574966	1070.1204872692203	-1.2586155207827687e-05	-4.947185516357422e-06	0.0019814614206552505	-0.013564445078372955	-0.0194854736328125	4.967191696166992	0.03261096745121236	10.026796764257004	-0.0017573602281851196	1.8566892560647459	1.0823597713392608
0	33000	81919.90007174746	58.045268078239594	1069.5120146508084	-1.2229655112605542e-05	-5.4836273193359375e-06	0.0019860726315528154	-0.013792076148092747	-0.01983642578125	5.278463363647461	0.0391459550176348	10.142319878753352	-0.0008078066802759276	1.8582126522550777	1.0936978258648697
0	34000	81907.61172672194	58.13115252280722	1068.7486653421518	-1.173940472654067e-05	-7.331371307373047e-06	0.001990573713555932	-0.014013838022947311	-0.0200958251953125	5.603766918182373	0.015264142532737888	10.28353728566851	-0.005615016639241421	1.8591353528353634	1.1075790889409123
0	35000	81886.77064732143	58.21318416206204	1067.9259219346372	-1.137776689574821e-05	-5.125999450683594e-06	0.00199471740052104	-0.014226405881345272	-0.0204010009765625	5.940608501434326	0.005132686118690335	10.436507405066976	-0.005344292130793529	1.8596774084227425	1.1226789078542165
0	36000	81841.74408083546	58.278305910071545	1067.0825617291769	-1.0827780897670891e-05	-5.543231964111328e-06	0.0019976424518972635	-0.01443120464682579	-0.0207061767578125	6.2857346534729	0.022904837618068774	10.576665683668487	-0.0040422897508881625	1.859742030805471	1.1363497762655725
0	37000	81777.93160076531	58.33274580507862	1066.2223987396494	-1.0409006790723652e-05	-2.3245811462402344e-06	0.001999844331294298	-0.01463343482464552	-0.021026611328125	6.639498233795166	0.012483967810261006	10.697619793366412	-0.005801362795552042	1.8595101504909748	1.1495121291705541
0	38000	81705.02999441964	58.37529244714854	1065.3882650880198	-1.0162737453356385e-05	-1.3113021850585938e-06	0.00200152606703341	-0.014831951819360256	-0.0213775634765625	7.0014543533325195	-0.0037027597427368164	10.812423516292961	-0.005717737657707305	1.8587672430641797	1.1634338181845996
0	39000	81604.9762635523	58.392652861926024	1064.6659760542386	-9.679796676209662e-06	-1.7285346984863281e-06	0.002001530257984996	-0.015026221983134747	-0.021636962890625	7.366132736206055	0.016337534602807492	10.892036272554982	-0.0012205480418944008	1.8576836464356403	1.1738058833443388
0	40000	81490.24669164541	58.386063711983816	1064.070511050149	-9.471725206822157e-06	-3.2782554626464844e-06	0.001999934669584036	-0.015225098468363285	-0.021942138671875	7.733619689941406	0.013829632681243273	10.949973539430268	-0.0008786493786120047	1.856203706897035	1.1812950631185455
0	41000	81395.26153938138	58.504271682427856	1062.2295641422613	-9.239360224455595e-06	-3.4570693969726562e-06	0.002009984804317355	-0.015371127985417843	-0.0222015380859375	8.141639709472656	0.0032646376259472904	11.235947754918312	0.00342696540287324	1.853239497359918	1.2281191221305303
0	42000	81277.65587133291	58.51258962981555	1061.5211366142212	-8.96720575838117e-06	-4.112720489501953e-06	0.0020092253107577562	-0.015552626922726631	-0.022491455078125	8.539488792419434	-0.029972581230864232	11.290943442558756	-0.007784633653519912	1.8517955845716048	1.2390859501094234
0	43000	81134.58193160077	58.502659388950896	1060.7854779670402	-8.73815588420257e-06	-5.960464477539062e-07	0.002007934730499983	-0.015727944672107697	-0.022674560546875	8.940473556518555	-0.03422256635159862	11.36105614778947	-0.003196554499112373	1.8495834761736345	1.251487032795439
